#{"t_start": 1784588893.0132864, "env_id": "None"}
r,l,t
596.25,60,0.02389
879.95,60,0.039901
767.5,60,0.055439
424.2,60,0.07286
741.35,60,0.088917
735.1,60,0.103961
596.8,60,0.119132
-160.35,28,0.126182
152.05,60,0.141837
417.65,60,0.156995
663.55,60,0.173709
-158.65,33,0.182587
436.65,60,0.202863
638.3,60,0.219488
647.4,60,0.235965
516.45,60,0.253187
116.15,60,0.273107
257.7,60,0.308242
446.9,60,0.371468
427.55,60,0.438669
390.7,60,0.505543
557.45,60,0.569517
150.8,60,0.655808
440.0,60,0.727079
676.85,60,0.795826
750.0,60,0.861663
321.45,60,0.929843
-187.4,23,0.956591
551.1,60,1.029874
283.8,60,1.114154
224.3,60,1.191206
534.1,60,1.282844
797.7,60,1.363417
258.1,60,1.456413
838.0,60,1.531529
375.35,60,1.597537
443.25,60,1.668398
417.7,60,1.738361
501.95,60,1.808854
565.25,60,1.876471
623.1,60,1.962634
275.0,60,2.042305
297.65,60,2.133234
592.1,60,2.228511
592.05,60,2.305172
831.95,60,2.372906
486.0,60,2.449342
525.4,60,2.526229
413.45,60,2.598178
191.7,60,2.664929
663.15,60,2.744756
716.75,60,2.82398
-153.5,28,2.861639
706.85,60,2.937894
414.45,60,3.010361
-67.55,60,3.097472
257.95,60,3.1769
827.3,60,3.248656
338.9,60,3.317283
-152.45,30,3.350107
-175.35,37,3.392197
887.35,60,3.461907
778.0,60,3.542445
980.25,60,3.619449
800.6,60,3.693081
554.05,60,3.765418
865.85,60,3.837892
1004.25,60,3.914297
842.55,60,3.982872
-172.45,59,4.051787
937.35,60,4.134585
576.05,60,4.216985
679.35,60,4.292245
533.9,60,4.362518
692.05,60,4.448242
-171.6,13,4.462436
-170.3,8,4.471578
-152.15,21,4.495551
992.65,60,4.566663
732.25,60,4.63546
-169.1,22,4.664635
932.65,60,4.738926
839.9,60,4.812636
704.25,60,4.884952
818.45,60,4.967024
738.45,60,5.036885
802.6,60,5.110532
1047.9,60,5.186812
273.65,60,5.291836
964.9,60,5.370535
1011.95,60,5.446107
860.85,60,5.518725
30.5,60,5.591753
58.3,60,5.669672
366.35,60,5.760414
457.55,60,5.836643
891.5,60,5.911571
-152.05,13,5.927855
-157.15,26,5.962922
662.95,60,6.043566
713.95,60,6.14987
460.3,60,6.22823
669.7,60,6.306856
793.1,60,6.384537
-173.65,28,6.422462
-181.95,28,6.459403
-161.7,36,6.505349
176.6,60,6.58349
1203.3,60,6.672574
775.9,60,6.753716
1054.2,60,6.832117
565.25,60,6.905661
738.05,60,6.978167
753.45,60,7.061234
1044.05,60,7.160133
-174.55,24,7.190325
755.75,60,7.268395
166.4,60,7.342081
1005.35,60,7.414442
-187.45,22,7.439646
-150.5,6,7.448724
805.0,60,7.524238
936.8,60,7.605088
1289.75,60,7.702598
1080.8,60,7.77824
902.6,60,7.856481
973.15,60,7.933236
-190.0,44,7.991064
806.35,60,8.072426
937.9,60,8.148225
948.15,60,8.235801
984.05,60,8.311448
-168.75,15,8.328174
1158.85,60,8.405195
385.1,60,8.482579
140.55,60,8.571488
276.65,60,8.658712
-153.2,17,8.683035
395.95,60,8.761451
229.15,60,8.836844
20.45,60,8.913007
989.75,60,8.990028
891.05,60,9.063411
669.6,60,9.150447
207.25,60,9.223112
372.1,60,9.309642
859.75,60,9.409621
798.95,60,9.500295
810.45,60,9.588428
-160.5,8,9.598956
251.4,60,9.678441
-175.6,39,9.729304
1007.85,60,9.811303
831.8,60,9.904685
-174.2,11,9.925208
-178.45,26,9.963305
-159.65,9,9.974927
868.7,60,10.05594
771.9,60,10.150092
-158.3,18,10.173928
-169.15,10,10.191131
-152.25,19,10.224322
427.65,60,10.323396
-194.05,12,10.342967
354.95,60,10.436531
903.7,60,10.523402
916.05,60,10.599483
-154.75,35,10.657674
873.7,60,10.739834
933.1,60,10.827821
900.1,60,10.913064
527.15,60,10.99024
291.85,60,11.078807
504.5,60,11.170589
73.65,60,11.250648
316.2,60,11.328166
140.2,60,11.410194
665.45,60,11.485349
-152.6,13,11.50399
942.95,60,11.589439
-178.4,16,11.608745
1026.05,60,11.691749
437.3,60,11.779934
-168.0,15,11.799019
-183.0,14,11.819947
990.6,60,11.897775
932.5,60,11.978384
281.3,60,12.065676
-97.65,60,12.154098
-184.9,28,12.190457
-186.25,6,12.197111
339.2,60,12.252848
141.25,60,12.296364
867.6,60,12.335518
-175.95,5,12.340296
-152.4,7,12.343973
-158.0,11,12.351657
1089.3,60,12.38505
894.6,60,12.421869
887.4,60,12.452985
-158.55,12,12.459473
364.85,60,12.495744
-168.8,10,12.504011
1013.4,60,12.546006
224.05,60,12.582176
1227.65,60,12.617399
-165.4,55,12.648442
-150.9,12,12.655177
997.0,60,12.69046
-197.8,19,12.702104
982.2,60,12.737372
1028.95,60,12.770339
-172.5,30,12.789268
-153.6,8,12.794157
-174.9,8,12.799268
1095.75,60,12.837346
-161.75,13,12.84452
376.85,60,12.878843
1062.55,60,12.915977
1253.2,60,12.953504
1020.2,60,12.989444
573.7,60,13.022337
-178.6,9,13.027376
861.1,60,13.061708
1210.95,60,13.0978
-169.8,9,13.103052
-175.95,28,13.121518
1152.05,60,13.160004
-156.65,17,13.171616
499.65,60,13.206333
126.05,60,13.239914
1176.55,60,13.277298
1112.15,60,13.310836
1100.9,60,13.34921
914.0,60,13.393267
1021.55,60,13.433677
833.3,60,13.46982
897.1,60,13.508995
697.85,60,13.547073
627.6,60,13.584983
1032.6,60,13.631052
-165.25,41,13.666519
-158.5,11,13.675319
277.65,60,13.71893
-183.2,30,13.737458
1022.0,60,13.777584
855.8,60,13.817607
708.9,60,13.856983
1189.2,60,13.895597
881.85,60,13.934837
1076.3,60,13.969033
70.2,60,14.00116
960.7,60,14.03661
1177.7,60,14.071848
770.25,60,14.104661
643.2,60,14.139261
-161.2,7,14.14366
986.45,60,14.177643
-152.95,15,14.186872
607.45,60,14.222134
1216.0,60,14.261709
782.35,60,14.293761
617.75,60,14.338765
763.0,60,14.385378
313.5,60,14.460335
903.5,60,14.522603
-154.15,15,14.535135
977.8,60,14.593401
89.4,60,14.638566
869.45,60,14.673983
957.7,60,14.716769
506.4,60,14.757898
80.2,60,14.796733
736.9,60,14.842743
593.7,60,14.882036
-119.7,60,14.917114
354.7,60,14.952401
576.05,60,14.986296
1150.85,60,15.021048
833.5,60,15.053573
534.65,60,15.08746
894.55,60,15.12571
909.55,60,15.156409
582.55,60,15.186408
1123.5,60,15.217479
988.5,60,15.251981
645.9,60,15.287042
1067.05,60,15.322942
933.0,60,15.357875
620.9,60,15.393889
1013.5,60,15.430325
677.65,60,15.462998
844.6,60,15.498641
510.9,60,15.533203
-3.65,60,15.566836
492.6,60,15.60314
-158.8,34,15.622195
953.85,60,15.651864
388.85,60,15.688114
766.85,60,15.722777
851.65,60,15.758134
589.4,60,15.861372
662.0,60,15.946961
952.1,60,16.045471
929.8,60,16.158268
