#{"t_start": 1784588783.2472954, "env_id": "None"}
r,l,t
-159.1,56,0.026776
711.5,60,0.049757
585.55,60,0.073421
604.65,60,0.096199
570.45,60,0.119199
450.7,60,0.142256
305.85,60,0.166848
709.95,60,0.190671
433.35,60,0.215515
506.4,60,0.240887
580.5,60,0.264966
247.55,60,0.2885
470.7,60,0.313083
240.55,60,0.337176
80.55,60,0.360531
-24.0,60,0.384752
541.35,60,0.40946
199.15,60,0.516707
623.7,60,0.540607
680.45,60,0.563721
785.55,60,0.586847
-157.45,23,0.595832
436.95,60,0.618679
706.65,60,0.642638
452.8,60,0.665454
767.2,60,0.688275
550.2,60,0.71196
126.9,60,0.736428
478.1,60,0.762001
570.55,60,0.786697
718.2,60,0.810978
429.5,60,0.834739
436.05,60,0.857416
601.75,60,0.881749
627.35,60,0.990426
407.95,60,1.015944
624.65,60,1.043289
-155.85,46,1.063763
541.45,60,1.09016
421.9,60,1.116259
990.65,60,1.14429
354.55,60,1.170052
463.7,60,1.194507
-151.7,42,1.211138
519.25,60,1.234966
-158.6,12,1.240037
620.05,60,1.26403
607.9,60,1.288445
-169.0,6,1.290861
797.5,60,1.315036
591.5,60,1.340244
840.75,60,1.364021
250.1,60,1.387727
545.9,60,1.411341
731.8,60,1.520355
702.35,60,1.543524
574.55,60,1.566329
-152.85,15,1.57227
513.1,60,1.594837
752.9,60,1.617638
983.15,60,1.641616
591.65,60,1.664689
312.55,60,1.687724
842.3,60,1.712538
703.95,60,1.736598
726.65,60,1.759818
563.5,60,1.785134
498.2,60,1.809246
553.2,60,1.833514
250.8,60,1.858092
344.55,60,1.882166
698.0,60,1.994026
783.6,60,2.021317
-100.75,60,2.048514
488.95,60,2.07201
652.75,60,2.0951
340.65,60,2.118165
429.6,60,2.141428
-155.9,35,2.154741
660.1,60,2.17752
668.45,60,2.20087
-161.65,5,2.203013
498.05,60,2.226758
768.55,60,2.250319
740.55,60,2.274907
101.45,60,2.298621
-152.7,12,2.30392
626.45,60,2.327641
392.5,60,2.352123
267.15,60,2.375834
655.1,60,2.399181
255.45,60,2.50676
351.5,60,2.530607
526.55,60,2.553727
442.65,60,2.576828
469.35,60,2.59976
593.8,60,2.623679
696.25,60,2.64889
190.75,60,2.672686
235.75,60,2.696297
-169.4,59,2.719211
560.4,60,2.743074
617.05,60,2.767251
593.0,60,2.792092
512.45,60,2.816804
662.65,60,2.840969
406.2,60,2.864385
615.5,60,2.887484
754.8,60,2.985363
3.4,60,3.008389
532.5,60,3.031212
450.65,60,3.054207
832.6,60,3.077084
-161.15,12,3.081842
543.9,60,3.10457
238.15,60,3.127394
333.5,60,3.151418
898.65,60,3.175379
682.8,60,3.199742
677.45,60,3.22398
758.35,60,3.248838
654.95,60,3.272505
816.25,60,3.296087
319.35,60,3.320381
363.6,60,3.344965
255.8,60,3.368933
343.95,60,3.464519
941.05,60,3.487454
735.35,60,3.510431
404.5,60,3.533532
509.65,60,3.556549
523.95,60,3.579458
477.5,60,3.602624
457.2,60,3.625691
422.0,60,3.649844
842.65,60,3.673648
460.8,60,3.697173
523.65,60,3.720795
832.3,60,3.744235
666.85,60,3.769708
701.0,60,3.793432
658.5,60,3.81763
115.6,60,3.841755
117.2,60,3.936296
712.8,60,3.959532
766.55,60,3.98259
1081.6,60,4.006212
618.15,60,4.03193
510.5,60,4.055662
345.85,60,4.080932
489.05,60,4.106004
-157.55,34,4.119795
527.35,60,4.145079
735.7,60,4.170628
-158.05,50,4.190665
26.1,60,4.214119
604.65,60,4.237668
616.9,60,4.261203
624.5,60,4.285134
563.2,60,4.309331
202.5,60,4.417762
664.55,60,4.444505
540.05,60,4.470711
599.6,60,4.494634
-152.05,48,4.514799
609.65,60,4.540248
-151.95,20,4.54853
548.85,60,4.574076
828.9,60,4.597778
435.55,60,4.621319
-153.35,49,4.641535
71.4,60,4.665363
743.9,60,4.688953
659.2,60,4.714659
70.2,60,4.739297
811.4,60,4.76323
438.9,60,4.787704
616.1,60,4.812139
775.6,60,4.916563
621.3,60,4.93988
852.85,60,4.963274
721.75,60,4.986639
753.7,60,5.009997
670.6,60,5.033019
72.65,60,5.055996
-18.35,60,5.078933
482.2,60,5.101797
707.55,60,5.12503
410.8,60,5.148635
834.7,60,5.173321
-33.55,60,5.196961
-33.95,60,5.220114
1000.8,60,5.244211
393.35,60,5.268439
813.05,60,5.291622
537.55,60,5.315357
597.0,60,5.410939
699.35,60,5.43394
752.05,60,5.457669
601.75,60,5.480765
559.85,60,5.50396
757.85,60,5.527651
252.5,60,5.553119
792.15,60,5.580019
765.35,60,5.603677
300.85,60,5.627777
53.3,60,5.652436
735.85,60,5.676466
-159.8,19,5.683748
149.1,60,5.707347
28.75,60,5.731452
-161.2,53,5.752598
493.75,60,5.77841
413.85,60,5.882045
-35.3,60,5.905128
620.55,60,5.928097
230.95,60,5.95118
316.45,60,5.974384
876.1,60,5.997424
588.15,60,6.020659
261.55,60,6.04421
905.05,60,6.068131
585.7,60,6.093024
684.0,60,6.116654
550.45,60,6.14103
601.55,60,6.165168
217.9,60,6.18889
573.2,60,6.212226
482.7,60,6.236232
344.6,60,6.259506
677.25,60,6.367504
568.8,60,6.393266
719.8,60,6.416557
823.2,60,6.439669
720.3,60,6.462778
349.85,60,6.485917
173.0,60,6.50888
640.15,60,6.531875
556.9,60,6.554803
269.2,60,6.578481
915.0,60,6.602834
366.15,60,6.626586
-167.5,17,6.633617
645.85,60,6.656852
1194.85,60,6.680135
889.0,60,6.703183
744.5,60,6.728194
689.1,60,6.752741
900.0,60,6.855875
413.65,60,6.883217
828.45,60,6.910577
444.95,60,6.939021
-153.4,49,6.959588
666.05,60,6.983884
681.3,60,7.007564
582.85,60,7.031114
-176.0,34,7.045889
430.8,60,7.069835
90.2,60,7.093228
720.35,60,7.116168
297.45,60,7.140163
308.3,60,7.16378
396.8,60,7.18739
283.05,60,7.21057
800.75,60,7.23384
628.6,60,7.259234
751.95,60,7.366385
664.4,60,7.394196
563.35,60,7.419416
445.8,60,7.443109
184.45,60,7.466887
735.2,60,7.490373
643.15,60,7.513772
665.85,60,7.538015
527.55,60,7.562378
24.8,60,7.587524
397.3,60,7.612895
162.75,60,7.637204
-158.45,54,7.657761
438.25,60,7.681601
680.35,60,7.706039
858.95,60,7.730994
495.15,60,7.754336
629.35,60,7.869486
-170.05,52,7.890893
469.0,60,7.917236
845.65,60,7.945055
988.9,60,7.972848
976.0,60,7.996962
674.65,60,8.021938
570.95,60,8.046992
524.6,60,8.071431
931.9,60,8.096491
462.1,60,8.121555
1044.9,60,8.146222
675.6,60,8.170602
852.25,60,8.194663
743.2,60,8.219157
937.95,60,8.243536
675.15,60,8.267969
844.8,60,8.365969
927.1,60,8.390246
150.3,60,8.413291
-150.1,21,8.42152
325.4,60,8.444366
682.2,60,8.467402
714.35,60,8.490371
912.95,60,8.513485
586.8,60,8.536407
536.7,60,8.559219
227.3,60,8.583849
549.5,60,8.609511
960.65,60,8.632858
745.0,60,8.655706
599.55,60,8.680422
908.2,60,8.705557
943.65,60,8.729899
-19.1,60,8.753563
279.75,60,8.872736
597.05,60,8.899245
979.45,60,8.926346
-210.45,12,8.931766
791.45,60,8.956638
481.75,60,8.983872
554.7,60,9.009152
886.5,60,9.034656
426.45,60,9.058085
640.1,60,9.082892
518.55,60,9.106977
-153.5,4,9.108753
623.6,60,9.132462
691.85,60,9.155673
-88.65,60,9.180166
712.35,60,9.203713
563.95,60,9.226848
731.0,60,9.251011
736.7,60,9.2757
571.8,60,9.372183
189.35,60,9.397501
495.35,60,9.424903
939.2,60,9.451411
244.35,60,9.479477
183.7,60,9.507128
632.75,60,9.531276
954.15,60,9.554807
837.75,60,9.578562
708.4,60,9.603462
394.7,60,9.626967
583.0,60,9.652227
455.85,60,9.676272
279.3,60,9.701166
720.9,60,9.724224
829.25,60,9.748669
826.5,60,9.774103
959.45,60,9.872198
99.8,60,9.895922
249.3,60,9.91943
697.9,60,9.943068
714.5,60,9.966437
-153.9,11,9.970903
-156.6,5,9.972946
568.95,60,9.996887
923.2,60,10.020278
484.45,60,10.043567
-163.4,9,10.047252
827.2,60,10.07151
836.95,60,10.097
739.4,60,10.121387
594.3,60,10.146134
245.75,60,10.170735
779.9,60,10.194732
559.35,60,10.218555
747.05,60,10.243184
-173.2,16,10.249589
1001.8,60,10.347549
-161.15,38,10.362308
810.85,60,10.38541
558.45,60,10.408389
772.2,60,10.43134
-160.95,20,10.439142
389.95,60,10.461853
523.2,60,10.486339
454.45,60,10.509845
931.5,60,10.532961
619.35,60,10.557056
791.8,60,10.581078
586.6,60,10.605568
63.0,60,10.628774
-168.05,30,10.640896
186.3,60,10.664214
211.8,60,10.688309
816.05,60,10.712633
574.3,60,10.736989
531.0,60,10.843934
623.1,60,10.868997
-58.0,60,10.89275
630.6,60,10.916194
727.05,60,10.939739
958.9,60,10.962846
716.05,60,10.989459
807.35,60,11.012998
1100.8,60,11.036905
743.55,60,11.061247
656.85,60,11.085979
147.15,60,11.110839
710.2,60,11.135322
664.4,60,11.158328
538.2,60,11.183218
872.3,60,11.20735
772.6,60,11.230371
382.6,60,11.33601
465.35,60,11.359194
-174.8,8,11.362575
495.85,60,11.385981
706.0,60,11.409147
711.35,60,11.432303
306.55,60,11.455301
-154.65,31,11.467324
398.45,60,11.491358
-150.6,11,11.495849
658.2,60,11.519135
74.85,60,11.543699
867.1,60,11.56783
-160.0,8,11.571292
